Thu, 19 Jul 2018 09:36:29 +0800 | INFO   | server     |  | Serving using application   : /usr/bin/php /home/refar/Phpproject/ATS/ats/script/checkPortStatus.php
Thu, 19 Jul 2018 09:36:29 +0800 | INFO   | server     |  | Starting WebSocket server   : ws://Toshiba:8080/
Thu, 19 Jul 2018 09:36:40 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531964200964969655' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Thu, 19 Jul 2018 09:36:41 +0800 | ERROR  | stderr     | url:'http://toshiba:8080/' id:'1531964200964969655' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'27565' | PHP Warning:  require_once(../ats_config.inc.php): failed to open stream: No such file or directory in /home/refar/Phpproject/ATS/ats/script/checkPortStatus.php on line 10
Thu, 19 Jul 2018 09:36:41 +0800 | ERROR  | stderr     | url:'http://toshiba:8080/' id:'1531964200964969655' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'27565' | PHP Fatal error:  require_once(): Failed opening required '../ats_config.inc.php' (include_path='.:/usr/share/php') in /home/refar/Phpproject/ATS/ats/script/checkPortStatus.php on line 10
Thu, 19 Jul 2018 09:36:41 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531964200964969655' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'27565' | DISCONNECT
Thu, 19 Jul 2018 09:38:00 +0800 | INFO   | server     |  | Serving using application   : /usr/bin/php /home/refar/Phpproject/ATS/ats/script/checkPortStatus.php
Thu, 19 Jul 2018 09:38:00 +0800 | INFO   | server     |  | Starting WebSocket server   : ws://Toshiba:8080/
Thu, 19 Jul 2018 09:38:11 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531964291845705914' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Thu, 19 Jul 2018 09:38:11 +0800 | ERROR  | stderr     | url:'http://toshiba:8080/' id:'1531964291845705914' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'27663' | PHP Warning:  require_once(../ats_config.inc.php): failed to open stream: No such file or directory in /home/refar/Phpproject/ATS/ats/script/checkPortStatus.php on line 10
Thu, 19 Jul 2018 09:38:11 +0800 | ERROR  | stderr     | url:'http://toshiba:8080/' id:'1531964291845705914' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'27663' | PHP Fatal error:  require_once(): Failed opening required '../ats_config.inc.php' (include_path='.:/usr/share/php') in /home/refar/Phpproject/ATS/ats/script/checkPortStatus.php on line 10
Thu, 19 Jul 2018 09:38:11 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531964291845705914' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'27663' | DISCONNECT
Thu, 19 Jul 2018 09:43:59 +0800 | INFO   | server     |  | Serving using application   : /usr/bin/php checkPortStatus.php
Thu, 19 Jul 2018 09:43:59 +0800 | INFO   | server     |  | Starting WebSocket server   : ws://Toshiba:8080/
Thu, 19 Jul 2018 09:44:03 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531964643397187995' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Thu, 19 Jul 2018 09:55:37 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531964643397187995' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'28064' | DISCONNECT
Thu, 19 Jul 2018 09:55:37 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531965337855311212' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' | CONNECT
Thu, 19 Jul 2018 09:56:05 +0800 | ACCESS | session    | url:'http://toshiba:8080/' id:'1531965337855311212' remote:'127.0.0.1' command:'/usr/bin/php' origin:'http://localhost' pid:'28826' | DISCONNECT
